player,team,position,age,club,games,minutes,goals,assists,cards_yellow,cards_red,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,minutes_per_game,fouls,fouled,offsides,crosses,interceptions,tackles_won,goals_per_90,assist_per_90,cards_per_fouls_per_90,bad_discipline,age_binned
Kwasi Sibo,Ghana,MF,27,Oviedo,4,248,0,0,0,0,0,0,0.0,0.0,62.0,7,1,0,0,2,0,0.0,0.0,0.0,0.0,26-30
Lawrence Ati-Zigi,Ghana,GK,29,St. Gallen,2,135,0,0,0,0,0,0,0.0,0.0,68.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Marvin Senaya,Ghana,DF,25,Auxerre,4,278,0,0,0,0,2,0,0.0,0.0,70.0,6,4,0,8,6,12,0.0,0.0,0.0,0.0,21-25
Prince Kwabena Adu,Ghana,FW,22,Viktoria Plzeň,3,39,0,0,0,0,1,1,0.0,0.0,13.0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Thomas Partey,Ghana,MF,33,Villarreal,3,270,0,0,0,0,2,0,0.0,0.0,90.0,2,5,0,0,6,4,0.0,0.0,0.0,0.0,31-35
Carlens Arcus,Haiti,MF,29,Angers,3,146,0,0,1,0,0,0,0.0,0.0,49.0,5,3,2,2,3,3,0.0,0.0,0.616,0.616,26-30
Danley Jean-Jacques,Haiti,MF,26,Philadelphia,3,259,0,0,1,0,0,0,0.0,0.0,86.0,5,3,0,1,3,6,0.0,0.0,0.3474,0.3474,26-30
Derrick Etienne,Haiti,FW,29,Toronto FC,1,10,0,0,0,0,0,0,0.0,0.0,10.0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,26-30
Dominique Simon,Haiti,MF,25,Unattached,2,56,0,0,0,0,1,1,0.0,0.0,28.0,1,1,0,1,1,1,0.0,0.0,0.0,0.0,21-25
Duckens Nazon,Haiti,FW,32,Esteghlal,1,24,0,0,1,0,1,1,0.0,0.0,24.0,0,1,0,0,0,0,0.0,0.0,3.75,3.75,31-35
Frantzdy Pierrot,Haiti,FW,31,Rizespor,3,143,0,0,1,0,3,1,0.0,0.0,48.0,5,4,2,0,0,0,0.0,0.0,0.6294,0.6294,31-35
Hannes Delcroix,Haiti,DF,27,Lugano,3,270,0,0,0,0,0,0,0.0,0.0,90.0,1,2,0,0,4,3,0.0,0.0,0.0,0.0,26-30
Jean-Kevin Duverne,Haiti,DF,28,Gent,2,169,0,1,0,0,1,0,0.0,0.0,85.0,2,1,1,1,4,2,0.0,0.5327,0.0,0.0,26-30
Jean-Ricner Bellegarde,Haiti,MF,27,Wolves,3,260,0,0,1,0,6,0,0.0,0.0,87.0,4,5,0,10,3,2,0.0,0.0,0.3462,0.3462,26-30
Johny Placide,Haiti,GK,38,Bastia,3,270,0,0,1,0,0,0,0.0,0.0,90.0,0,0,0,0,0,0,0.0,0.0,0.3333,0.3333,36-40
Josué Casimir,Haiti,MF,24,Auxerre,3,182,0,0,1,0,1,0,0.0,0.0,61.0,4,4,0,3,0,0,0.0,0.0,0.4944,0.4944,21-25
Lenny Joseph,Haiti,FW,25,Ferencváros,3,117,0,0,0,0,2,0,0.0,0.0,39.0,6,1,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Louicius Deedson,Haiti,MF,25,FC Dallas,3,112,0,0,0,0,2,0,0.0,0.0,37.0,3,1,1,4,1,0,0.0,0.0,0.0,0.0,21-25
Martin Expérience,Haiti,DF,27,Nancy,3,270,0,0,0,0,1,0,0.0,0.0,90.0,7,6,0,6,4,6,0.0,0.0,0.0,0.0,26-30
Ricardo Adé,Haiti,DF,36,LDU Quito,3,270,0,0,0,0,4,1,0.0,0.0,90.0,6,4,0,1,5,2,0.0,0.0,0.0,0.0,36-40
Ruben Providence,Haiti,MF,24,Almere City,3,220,0,0,0,0,4,1,0.0,0.0,73.0,3,5,0,6,0,2,0.0,0.0,0.0,0.0,21-25
Wilson Isidor,Haiti,FW,25,Sunderland,3,186,1,0,0,0,5,2,0.2,0.5,62.0,3,2,1,0,1,1,0.484,0.0,0.0,0.0,21-25
Yassin Fortuné,Haiti,FW,27,Unattached,1,6,0,0,0,0,0,0,0.0,0.0,6.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Ali Alipour,IR Iran,FW,30,Persepolis,1,38,0,0,0,0,1,0,0.0,0.0,38.0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,26-30
Ali Nemati,IR Iran,DF,30,Foolad,3,270,0,0,1,0,1,0,0.0,0.0,90.0,3,0,1,2,0,2,0.0,0.0,0.3333,0.3333,26-30
Alireza Beiranvand,IR Iran,GK,33,Tractor,3,270,0,0,0,0,0,0,0.0,0.0,90.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Alireza Jahanbakhsh,IR Iran,FW,32,Dender,2,46,0,0,0,0,1,0,0.0,0.0,23.0,2,0,0,1,0,1,0.0,0.0,0.0,0.0,31-35
Amirhossein Hosseinzadeh,IR Iran,FW,25,Tractor,2,17,0,0,0,0,1,0,0.0,0.0,9.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,21-25
Aria Yousefi,IR Iran,MF,24,Sepahan,1,45,0,0,0,0,1,1,0.0,0.0,45.0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,21-25
Ehsan Hajsafi,IR Iran,DF,36,Sepahan,2,91,0,0,1,0,1,0,0.0,0.0,46.0,2,1,0,2,1,0,0.0,0.0,0.989,0.989,36-40
Hossein Kanaanizadegan,IR Iran,DF,32,Persepolis,2,135,0,0,1,0,1,1,0.0,0.0,68.0,1,0,0,0,2,0,0.0,0.0,0.6665,0.6665,31-35
Mehdi Ghayedi,IR Iran,FW,27,Unattached,1,45,0,0,0,0,1,0,0.0,0.0,45.0,2,1,0,3,0,0,0.0,0.0,0.0,0.0,26-30
Mehdi Taremi,IR Iran,FW,33,Olympiacos,3,259,0,0,0,0,5,2,0.0,0.0,86.0,3,5,2,1,2,2,0.0,0.0,0.0,0.0,31-35
Mehdi Torabi,IR Iran,MF,31,Tractor,1,25,0,0,0,0,0,0,0.0,0.0,25.0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,31-35
Milad Mohammadi,IR Iran,DF,32,Persepolis,3,205,0,0,0,0,1,1,0.0,0.0,68.0,1,1,2,3,2,4,0.0,0.0,0.0,0.0,31-35
Mohammad Ghorbani,IR Iran,MF,25,Unattached,1,90,0,0,0,0,2,1,0.0,0.0,90.0,2,1,0,0,2,2,0.0,0.0,0.0,0.0,21-25
Mohammad Mohebi,IR Iran,MF,27,Rostov,3,244,1,0,0,0,2,1,0.5,1.0,81.0,1,1,0,1,1,1,0.369,0.0,0.0,0.0,26-30
Ramin Rezaeian,IR Iran,DF,36,Foolad,3,270,2,1,0,0,4,2,0.5,1.0,90.0,2,3,1,18,2,5,0.6665,0.3333,0.0,0.0,36-40
Saeid Ezatolahi,IR Iran,MF,29,Unattached,3,264,0,0,2,0,6,2,0.0,0.0,88.0,7,4,0,0,7,5,0.0,0.0,0.6816,0.6816,26-30
Saleh Hardani,IR Iran,DF,27,Esteghlal,2,90,0,0,0,0,0,0,0.0,0.0,45.0,0,2,0,1,2,2,0.0,0.0,0.0,0.0,26-30
Saman Ghoddos,IR Iran,MF,32,Unattached,3,208,0,0,0,0,4,0,0.0,0.0,69.0,3,0,1,1,5,4,0.0,0.0,0.0,0.0,31-35
Shahriar Moghanlou,IR Iran,FW,31,Unattached,3,88,0,0,0,0,3,0,0.0,0.0,29.0,1,1,1,2,0,2,0.0,0.0,0.0,0.0,31-35
Shoja' Khalilzadeh,IR Iran,DF,37,Tractor,3,270,0,0,1,0,2,0,0.0,0.0,90.0,4,0,1,0,3,3,0.0,0.0,0.3333,0.3333,36-40
Ahmed Basil,Iraq,GK,29,Unattached,2,135,0,0,0,0,0,0,0.0,0.0,68.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Ahmed Maknzi,Iraq,DF,24,Unattached,1,33,0,0,0,0,0,0,0.0,0.0,33.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,21-25
Ahmed Qasem,Iraq,MF,22,Nashville SC,3,123,0,0,0,0,0,0,0.0,0.0,41.0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,21-25
Aimar Sher,Iraq,MF,23,Sarpsborg 08,1,23,0,0,0,0,0,0,0.0,0.0,23.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,21-25
Akam Hashim,Iraq,DF,27,Unattached,3,270,0,0,0,0,1,0,0.0,0.0,90.0,0,3,0,0,2,1,0.0,0.0,0.0,0.0,26-30
Ali Al Hamadi,Iraq,FW,24,Ipswich Town,3,180,0,0,0,0,6,0,0.0,0.0,60.0,1,5,0,0,2,2,0.0,0.0,0.0,0.0,21-25
Ali Jasim,Iraq,MF,22,Al-Najma,2,129,0,0,0,0,4,1,0.0,0.0,65.0,1,0,0,4,0,1,0.0,0.0,0.0,0.0,21-25
Ali Yousif,Iraq,FW,30,Unattached,1,33,0,0,0,0,0,0,0.0,0.0,33.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,26-30
Amir Al Ammari,Iraq,MF,28,Cracovia,3,247,0,1,2,0,0,0,0.0,0.0,82.0,3,0,0,8,2,1,0.0,0.3643,0.7285,0.7285,26-30
Ayman Hussein,Iraq,FW,30,Unattached,2,115,1,0,0,0,3,1,0.33,1.0,58.0,2,1,0,0,0,0,0.7827,0.0,0.0,0.0,26-30
Frans Dhia Putros,Iraq,DF,32,Unattached,1,90,0,0,0,0,0,0,0.0,0.0,90.0,2,0,0,1,2,2,0.0,0.0,0.0,0.0,31-35
Hussein Ali,Iraq,DF,24,Pogoń Szczecin,2,162,0,0,0,0,1,0,0.0,0.0,81.0,1,0,1,1,2,2,0.0,0.0,0.0,0.0,21-25
Ibrahim Bayesh,Iraq,MF,26,Unattached,3,235,0,0,0,0,1,0,0.0,0.0,78.0,3,5,0,4,1,4,0.0,0.0,0.0,0.0,26-30
Jalal Hassan,Iraq,GK,35,Unattached,2,135,0,0,0,0,0,0,0.0,0.0,68.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Kevin Yakob,Iraq,MF,25,AGF,1,24,0,0,0,0,1,0,0.0,0.0,24.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,21-25
Manaf Younis,Iraq,DF,29,Unattached,1,75,0,0,0,0,0,0,0.0,0.0,75.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,26-30
Marko Farji,Iraq,MF,22,Venezia,2,54,0,0,0,0,0,0,0.0,0.0,27.0,0,2,0,2,1,1,0.0,0.0,0.0,0.0,21-25
Merchas Doski,Iraq,DF,26,Viktoria Plzeň,3,270,0,0,1,0,1,0,0.0,0.0,90.0,3,8,0,4,6,9,0.0,0.0,0.3333,0.3333,26-30
Mohanad Ali,Iraq,FW,25,Unattached,1,13,0,0,0,0,0,0,0.0,0.0,13.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Mustafa Saadoon,Iraq,DF,25,Unattached,1,18,0,0,0,0,0,0,0.0,0.0,18.0,2,0,0,0,0,1,0.0,0.0,0.0,0.0,21-25
Rebin Sulaka,Iraq,DF,34,Unattached,2,43,0,0,0,1,1,0,0.0,0.0,22.0,1,0,0,0,1,0,0.0,0.0,2.094,6.277,31-35
Youssef Amyn,Iraq,MF,22,Unattached,1,31,0,0,0,0,0,0,0.0,0.0,31.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Zaid Ismail,Iraq,MF,24,Unattached,2,117,0,0,0,0,0,0,0.0,0.0,59.0,2,0,0,0,1,4,0.0,0.0,0.0,0.0,21-25
Zaid Tahseen,Iraq,DF,25,Unattached,2,149,0,0,1,0,2,0,0.0,0.0,75.0,3,2,0,0,0,1,0.0,0.0,0.604,0.604,21-25
Zidane Iqbal,Iraq,MF,23,Utrecht,3,188,0,0,0,0,0,0,0.0,0.0,63.0,1,2,0,2,1,2,0.0,0.0,0.0,0.0,21-25
Ao Tanaka,Japan,MF,27,Leeds United,3,193,0,0,0,0,2,0,0.0,0.0,64.0,6,2,0,0,1,6,0.0,0.0,0.0,0.0,26-30
Ayase Ueda,Japan,FW,27,Feyenoord,4,321,2,1,0,0,9,4,0.22,0.5,80.0,6,4,1,0,0,1,0.5605,0.2803,0.0,0.0,26-30
Ayumu Seko,Japan,DF,26,Le Havre,2,86,0,0,0,0,0,0,0.0,0.0,43.0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,26-30
Daichi Kamada,Japan,MF,29,Crystal Palace,4,329,2,0,1,0,3,2,0.67,1.0,82.0,2,4,1,4,1,3,0.547,0.0,0.2734,0.2734,26-30
Daizen Maeda,Japan,MF,28,Celtic,3,244,1,0,0,0,2,1,0.5,1.0,81.0,2,1,1,3,2,3,0.369,0.0,0.0,0.0,26-30
Hiroki Ito,Japan,DF,27,Bayern Munich,4,360,0,0,0,0,1,0,0.0,0.0,90.0,7,0,0,9,0,2,0.0,0.0,0.0,0.0,26-30
Junnosuke Suzuki,Japan,DF,22,FC Copenhagen,2,43,0,0,1,0,0,0,0.0,0.0,22.0,2,0,0,0,1,0,0.0,0.0,2.094,2.094,21-25
Junya Itō,Japan,MF,33,Genk,4,216,1,0,0,0,3,1,0.33,1.0,54.0,2,5,0,17,1,2,0.4167,0.0,0.0,0.0,31-35
Kaishū Sano,Japan,MF,25,Mainz 05,3,270,1,1,1,0,1,1,1.0,1.0,90.0,4,1,0,1,4,2,0.3333,0.3333,0.3333,0.3333,21-25
Keisuke Gotō,Japan,FW,21,Sint-Truiden,1,7,0,0,0,0,0,0,0.0,0.0,7.0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,21-25
Keito Nakamura,Japan,MF,25,Reims,4,307,1,1,0,0,5,2,0.2,0.5,77.0,3,1,1,9,1,3,0.2932,0.2932,0.0,0.0,21-25
Kento Shiogai,Japan,FW,21,Wolfsburg,1,7,0,0,0,0,0,0,0.0,0.0,7.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Ko Itakura,Japan,DF,29,Ajax,2,128,0,1,0,0,0,0,0.0,0.0,64.0,1,0,0,0,1,0,0.0,0.703,0.0,0.0,26-30
Kōki Ogawa,Japan,FW,28,NEC Nijmegen,3,42,0,1,0,0,3,0,0.0,0.0,14.0,1,0,0,0,0,0,0.0,2.143,0.0,0.0,26-30
Ritsu Doan,Japan,MF,27,Frankfurt,4,278,0,1,0,0,1,0,0.0,0.0,70.0,6,4,0,5,1,1,0.0,0.3237,0.0,0.0,26-30
Shogo Taniguchi,Japan,DF,34,Sint-Truiden,3,232,0,0,1,0,0,0,0.0,0.0,77.0,2,1,0,0,1,0,0.0,0.0,0.388,0.388,31-35
Shuto Machino,Japan,FW,26,Gladbach,1,13,0,0,0,0,0,0,0.0,0.0,13.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,26-30
Takefusa Kubo,Japan,MF,25,Real Sociedad,1,74,0,1,0,0,1,0,0.0,0.0,74.0,1,1,0,0,1,0,0.0,1.216,0.0,0.0,21-25
Takehiro Tomiyasu,Japan,DF,27,Ajax,3,184,0,0,0,0,1,0,0.0,0.0,61.0,5,2,0,2,2,1,0.0,0.0,0.0,0.0,26-30
Tsuyoshi Watanabe,Japan,DF,29,Feyenoord,2,90,0,0,0,0,0,0,0.0,0.0,45.0,0,1,0,1,0,2,0.0,0.0,0.0,0.0,26-30
Yuito Suzuki,Japan,FW,24,Freiburg,1,12,0,0,0,0,0,0,0.0,0.0,12.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,21-25
Yukinari Sugawara,Japan,MF,25,Werder Bremen,4,148,0,0,0,0,2,2,0.0,0.0,37.0,3,1,0,4,0,3,0.0,0.0,0.0,0.0,21-25
Yūto Nagatomo,Japan,DF,39,FC Tokyo,1,16,0,0,0,0,0,0,0.0,0.0,16.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,36-40
Zion Suzuki,Japan,GK,23,Parma,4,360,0,0,0,0,0,0,0.0,0.0,90.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Abdallah Nasib,Jordan,DF,32,Unattached,3,260,0,0,0,0,0,0,0.0,0.0,87.0,1,1,0,0,7,3,0.0,0.0,0.0,0.0,31-35
Ali Azaizeh,Jordan,MF,22,Al-Shabab,3,54,0,0,0,0,2,0,0.0,0.0,18.0,1,1,0,1,0,3,0.0,0.0,0.0,0.0,21-25
Ali Olwan,Jordan,MF,26,Unattached,3,268,1,0,0,0,6,3,0.17,0.3333,89.0,1,4,1,5,1,0,0.336,0.0,0.0,0.0,26-30
Amer Jamous,Jordan,MF,23,Unattached,1,15,0,0,0,0,0,0,0.0,0.0,15.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Husam Abu Dahab,Jordan,DF,26,Unattached,2,178,0,0,1,0,0,0,0.0,0.0,89.0,2,1,0,0,0,3,0.0,0.0,0.506,0.506,26-30
Ihsan Haddad,Jordan,DF,32,Unattached,3,260,0,1,0,0,1,0,0.0,0.0,87.0,3,1,0,8,2,1,0.0,0.3462,0.0,0.0,31-35
Mahmoud Al-Mardi,Jordan,MF,32,Unattached,3,130,0,0,0,0,1,1,0.0,0.0,43.0,4,2,0,7,0,1,0.0,0.0,0.0,0.0,31-35
Mo Abualnadi,Jordan,DF,25,Unattached,1,71,0,0,0,0,0,0,0.0,0.0,71.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Mohammad Abu Hasheesh,Jordan,DF,31,Unattached,1,6,0,0,0,0,0,0,0.0,0.0,6.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,31-35
Mohammad Al-Dawud,Jordan,FW,34,Unattached,1,3,0,0,0,0,0,0,0.0,0.0,3.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Mohannad Abu Taha,Jordan,DF,23,Unattached,3,264,0,0,1,0,1,0,0.0,0.0,88.0,2,1,0,5,6,2,0.0,0.0,0.3408,0.3408,21-25
Musa Al-Taamari,Jordan,FW,29,Rennes,3,215,1,1,0,0,8,3,0.13,0.3333,72.0,2,3,1,0,0,0,0.4187,0.4187,0.0,0.0,26-30
Nizar Al Rashdan,Jordan,MF,27,Unattached,3,255,1,0,0,0,2,1,0.5,1.0,85.0,5,4,0,0,2,5,0.353,0.0,0.0,0.0,26-30
Noor Al Rawabdeh,Jordan,MF,29,Unattached,3,270,0,1,0,0,1,0,0.0,0.0,90.0,1,0,0,0,2,7,0.0,0.3333,0.0,0.0,26-30
Odeh Al-Fakhouri,Jordan,MF,20,Unattached,3,148,0,0,0,0,2,1,0.0,0.0,49.0,2,3,1,1,2,1,0.0,0.0,0.0,0.0,16-20
Saed Al-Rosan,Jordan,DF,29,Unattached,1,10,0,0,0,0,0,0,0.0,0.0,10.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Salim Obaid,Jordan,DF,34,Unattached,3,21,0,0,0,0,0,0,0.0,0.0,7.0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,31-35
Sharara,Jordan,FW,28,Unattached,2,2,0,0,1,0,0,0,0.0,0.0,1.0,1,0,0,0,0,0,0.0,0.0,45.0,45.0,26-30
Yazan Al-Arab,Jordan,DF,30,FC Seoul,3,270,0,0,1,0,0,0,0.0,0.0,90.0,4,0,0,0,11,1,0.0,0.0,0.3333,0.3333,26-30
Yazeed Abulaila,Jordan,GK,33,Unattached,3,270,0,0,0,0,0,0,0.0,0.0,90.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Cho Gue-sung,Korea Republic,FW,28,Midtjylland,2,31,0,0,1,0,2,1,0.0,0.0,16.0,1,0,0,0,0,0,0.0,0.0,2.902,2.902,26-30
Eom Ji-sung,Korea Republic,MF,24,Swansea City,2,42,0,0,0,0,0,0,0.0,0.0,21.0,0,1,0,3,0,2,0.0,0.0,0.0,0.0,21-25
Hwang Hee-chan,Korea Republic,FW,30,Wolves,3,108,0,0,0,0,1,0,0.0,0.0,36.0,1,2,0,0,0,1,0.0,0.0,0.0,0.0,26-30
Hwang In-beom,Korea Republic,MF,29,Feyenoord,3,263,1,1,0,0,4,2,0.25,0.5,88.0,1,1,0,2,4,2,0.3423,0.3423,0.0,0.0,26-30
Jens Castrop,Korea Republic,MF,22,Gladbach,1,45,0,0,0,0,0,0,0.0,0.0,45.0,3,0,0,3,0,0,0.0,0.0,0.0,0.0,21-25
Kim Jin-gyu,Korea Republic,MF,29,Jeonbuk,2,52,0,0,0,0,1,0,0.0,0.0,26.0,0,1,0,1,0,1,0.0,0.0,0.0,0.0,26-30
Kim Min-jae,Korea Republic,DF,29,Bayern Munich,3,245,0,0,0,0,1,1,0.0,0.0,82.0,2,1,0,0,2,2,0.0,0.0,0.0,0.0,26-30
Kim Moon-hwan,Korea Republic,MF,30,Daejeon Hana,1,70,0,0,0,0,0,0,0.0,0.0,70.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,26-30
Kim Seung-gyu,Korea Republic,GK,35,FC Tokyo,3,270,0,0,0,0,0,0,0.0,0.0,90.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Lee Gi-hyuk,Korea Republic,DF,25,Gangwon FC,3,270,0,0,1,0,0,0,0.0,0.0,90.0,2,1,0,2,5,4,0.0,0.0,0.3333,0.3333,21-25
Lee Han-beom,Korea Republic,DF,23,Midtjylland,3,270,0,0,0,0,2,0,0.0,0.0,90.0,7,2,0,2,3,2,0.0,0.0,0.0,0.0,21-25
Lee Jae-sung,Korea Republic,FW,33,Mainz 05,2,117,0,0,0,0,2,1,0.0,0.0,59.0,1,4,1,0,2,3,0.0,0.0,0.0,0.0,31-35
Lee Kang-in,Korea Republic,FW,25,PSG,3,270,0,1,1,0,4,1,0.0,0.0,90.0,1,7,0,19,0,0,0.0,0.3333,0.3333,0.3333,21-25
Lee Tae-seok,Korea Republic,MF,23,Austria Wien,2,113,0,0,0,0,0,0,0.0,0.0,57.0,3,1,0,8,0,3,0.0,0.0,0.0,0.0,21-25
Oh Hyeon-gyu,Korea Republic,FW,25,Beşiktaş,3,129,1,0,0,0,4,2,0.25,0.5,43.0,0,1,0,1,0,0,0.6978,0.0,0.0,0.0,21-25
Paik Seung-ho,Korea Republic,MF,29,Birmingham City,3,204,0,0,1,0,0,0,0.0,0.0,68.0,1,2,0,1,1,0,0.0,0.0,0.4412,0.4412,26-30
Park Jinseob,Korea Republic,DF,30,Zhejiang,2,32,0,0,0,0,1,1,0.0,0.0,16.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Seol Young-woo,Korea Republic,MF,27,Red Star,3,250,0,0,0,0,2,0,0.0,0.0,83.0,1,2,4,9,1,0,0.0,0.0,0.0,0.0,26-30
Son Heung-min,Korea Republic,FW,33,LAFC,3,169,0,0,0,0,7,1,0.0,0.0,56.0,0,4,2,3,0,1,0.0,0.0,0.0,0.0,31-35
Yang Hyun-jun,Korea Republic,FW,24,Celtic,1,20,0,0,0,0,1,1,0.0,0.0,20.0,1,0,1,0,1,1,0.0,0.0,0.0,0.0,21-25
Alexis Vega,Mexico,FW,28,Toluca,1,12,0,0,0,0,0,0,0.0,0.0,12.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,26-30
Armando González,Mexico,FW,23,Guadalajara,1,15,0,0,0,0,0,0,0.0,0.0,15.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Brian Gutiérrez,Mexico,MF,22,Guadalajara,4,198,0,0,1,0,6,0,0.0,0.0,50.0,5,3,0,5,2,1,0.0,0.0,0.4546,0.4546,21-25
César Huerta,Mexico,FW,25,Anderlecht,1,7,0,0,0,0,0,0,0.0,0.0,7.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21-25
César Montes,Mexico,DF,29,Loko Moscow,4,314,0,0,0,1,1,1,0.0,0.0,79.0,4,3,0,2,2,1,0.0,0.0,0.2866,0.86,26-30
Edson Álvarez,Mexico,MF,28,West Ham,4,240,0,0,1,0,2,0,0.0,0.0,60.0,5,2,0,1,3,6,0.0,0.0,0.375,0.375,26-30
Erik Lira,Mexico,MF,26,Cruz Azul,4,345,0,1,0,0,0,0,0.0,0.0,86.0,3,4,0,2,2,3,0.0,0.261,0.0,0.0,26-30
Gilberto Mora,Mexico,MF,17,Tijuana,4,213,0,0,0,0,5,0,0.0,0.0,53.0,3,3,0,4,2,2,0.0,0.0,0.0,0.0,16-20
Guillermo Martínez Ayala,Mexico,FW,31,UNAM,2,72,0,0,0,0,0,0,0.0,0.0,36.0,3,1,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Guillermo Ochoa,Mexico,GK,40,Unattached,1,13,0,0,0,0,0,0,0.0,0.0,13.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,36-40
Israel Reyes,Mexico,DF,26,América,4,202,0,0,0,0,2,0,0.0,0.0,51.0,1,0,0,2,3,1,0.0,0.0,0.0,0.0,26-30
Jesús Gallardo,Mexico,DF,31,Toluca,5,373,0,0,0,0,4,0,0.0,0.0,75.0,7,3,0,16,7,1,0.0,0.0,0.0,0.0,31-35
Johan Vásquez,Mexico,DF,27,Genoa,4,360,0,0,1,0,1,0,0.0,0.0,90.0,0,2,0,1,2,1,0.0,0.0,0.25,0.25,26-30
Jorge Sánchez,Mexico,DF,28,PAOK,4,348,0,1,1,0,1,1,0.0,0.0,87.0,5,1,1,6,5,4,0.0,0.2585,0.2585,0.2585,26-30
Julián Quiñones,Mexico,FW,29,Al-Qadsiah,5,410,4,1,0,0,14,6,0.29,0.6665,82.0,5,7,1,3,0,0,0.878,0.2195,0.0,0.0,26-30
Luis Chávez,Mexico,MF,30,Dynamo Moskva,1,25,0,0,0,0,0,0,0.0,0.0,25.0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,26-30
Luis Romo,Mexico,MF,31,Guadalajara,4,264,1,1,0,0,3,1,0.33,1.0,66.0,1,3,0,1,4,4,0.3408,0.3408,0.0,0.0,31-35
Mateo Chávez,Mexico,DF,22,AZ Alkmaar,1,77,1,0,0,0,1,1,1.0,1.0,77.0,1,1,0,1,0,1,1.169,0.0,0.0,0.0,21-25
Obed Vargas,Mexico,MF,20,Atlético Madrid,3,66,0,0,0,0,1,1,0.0,0.0,22.0,1,0,0,0,1,2,0.0,0.0,0.0,0.0,16-20
Orbelín Pineda,Mexico,FW,30,AEK Athens,2,31,0,0,0,0,1,0,0.0,0.0,16.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Raúl Jiménez,Mexico,FW,35,Fulham,4,317,3,0,0,0,18,7,0.11,0.4285,79.0,7,2,2,0,0,1,0.8516,0.0,0.0,0.0,31-35
Raúl Rangel,Mexico,GK,26,Guadalajara,5,437,0,0,0,0,0,0,0.0,0.0,87.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Roberto Alvarado,Mexico,FW,27,Guadalajara,5,428,0,3,0,0,5,0,0.0,0.0,86.0,3,5,1,36,2,3,0.0,0.631,0.0,0.0,26-30
Santiago Giménez,Mexico,FW,25,Milan,4,86,0,0,0,0,2,1,0.0,0.0,22.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Álvaro Fidalgo,Mexico,MF,29,Real Betis,3,96,1,0,0,0,3,2,0.33,0.5,32.0,0,2,0,4,1,0,0.9375,0.0,0.0,0.0,26-30
Achraf Hakimi,Morocco,DF,27,PSG,6,570,1,2,1,0,14,4,0.07,0.25,95.0,7,16,0,35,5,10,0.1578,0.3157,0.1578,0.1578,26-30
Amine Sbai,Morocco,FW,25,Angers,1,6,0,0,0,0,0,0,0.0,0.0,6.0,2,0,0,2,0,0,0.0,0.0,0.0,0.0,21-25
